Unnamed: 0,Area,Mean,Min,Max
1,55.135,255,255,255
2,60.147,255,255,255
3,125.306,224.4,0,255
4,240.588,239.062,0,255
5,60.147,233.75,0,255
6,50.123,255,255,255
7,1313.21,237.481,0,255
8,55.135,255,255,255
9,837.046,233.623,0,255
10,80.196,255,255,255
11,491.201,228.98,0,255
12,170.417,240,0,255
13,55.135,255,255,255
14,85.208,210,0,255
15,65.159,255,255,255
16,120.294,244.375,0,255
17,411.005,245.671,0,255
18,125.306,244.8,0,255
19,1007.463,230.896,0,255
20,626.532,230.52,0,255
21,55.135,255,255,255
22,491.201,210.765,0,255
23,135.331,236.111,0,255
24,200.49,223.125,0,255
